Price,Close,High,Low,Open,Volume
Ticker,CBA.AX,CBA.AX,CBA.AX,CBA.AX,CBA.AX
Date,,,,,
2020-05-07,47.873992919921875,48.62530627271575,47.77705015619989,48.41526310435897,3227213
2020-05-08,48.14866638183594,48.71417148359256,48.043646339124116,48.67377892241456,3732173
2020-05-11,48.58491516113281,49.093870078932,48.31024142092825,48.47181475312299,3138014
2020-05-12,48.2375373840332,48.87575040162611,47.8659208478735,48.62531156286357,3095215
2020-05-13,49.15849304199219,49.15849304199219,47.49429619416943,47.82552010791855,4472151
2020-05-14,47.583160400390625,48.14058509445141,47.518529842482614,47.98709214205182,4440061
2020-05-15,48.14866638183594,48.27792442665846,47.591241641367844,48.06788125947994,2541031
2020-05-18,47.583160400390625,48.4233360809124,47.567002760913624,48.382943523097204,2783661
2020-05-19,48.18906021118164,48.794957851313406,47.98709433113772,48.55259632985689,3796234
2020-05-20,48.52837371826172,48.55260864385197,47.680117423291996,47.74474491878451,2628015
2020-05-21,47.704341888427734,48.794959527175,47.704341888427734,48.74648660486795,3701924
2020-05-22,47.421592712402344,48.035567676583454,47.421592712402344,47.78513193937043,3533352
2020-05-25,47.6558723449707,47.962858276231266,47.38119861369475,47.93862335580408,3314489
2020-05-26,49.530120849609375,49.530120849609375,47.75282022627104,47.9871014213588,6741584
2020-05-27,51.94563293457031,53.22205276260863,49.877500969756426,49.93405117629287,10042101
2020-05-28,53.10087203979492,54.151090920819065,52.58383371502529,53.32707283990752,5684569
2020-05-29,51.501304626464844,53.036246702936026,51.501304626464844,52.81004588054219,8073379
2020-06-01,51.62248229980469,51.88907875169404,50.33797912650799,50.93579643029734,3070283
2020-06-02,51.72750473022461,52.05873176092119,51.35588821809605,51.70326980866341,2100991
2020-06-03,53.40786361694336,53.553279312921,52.07488743106671,52.196068204966444,3553552
2020-06-04,54.66005325317383,55.459836478495696,54.054155562943016,54.85393878826488,6606740
2020-06-05,55.52446746826172,55.72643336654601,54.86201956842965,55.07205966491805,4428390
2020-06-09,58.3277473449707,58.50547831670407,57.09171706783765,57.358313525437694,5346437
2020-06-10,57.84303283691406,58.50548074591954,57.035169232589816,57.665301857801104,3872247
2020-06-11,55.29018783569336,56.954384911858426,55.18516162099656,56.445433052786356,5573908
2020-06-12,54.385372161865234,54.64388824287521,52.81811495376816,53.72292431905784,6002755
2020-06-15,53.56135177612305,54.934717241763416,53.56135177612305,54.30458470662232,4090602
2020-06-16,55.81529235839844,56.20306959273544,55.05590477656644,55.548702058521165,5425361
2020-06-17,56.21922302246094,56.37271907347903,55.38712452938162,56.30808850847037,3893680
2020-06-18,55.750667572021484,56.09804915914851,55.039743674546656,55.86376798052703,6359929
2020-06-19,55.48406982421875,56.4454294377393,55.225553730269084,56.26769846749081,5999403
2020-06-22,56.098052978515625,56.43735422713316,54.85394223674092,55.055908146181416,2314821
2020-06-23,55.766807556152344,56.275765424912706,55.16899038694249,56.275765424912706,2516618
2020-06-24,55.93647003173828,56.227301400508075,55.44367277707334,55.93647003173828,2798594
2020-06-25,54.65196228027344,55.431547531854335,54.58733172662177,54.9023979712876,3797086
2020-06-26,55.9607048034668,56.073811369697026,55.19323690450456,55.47598791130593,5935454
2020-06-29,55.403289794921875,55.403289794921875,54.425775532181326,54.77315714319742,2706964
2020-06-30,56.08189010620117,56.67163325112424,55.75066923243027,56.18691631973429,4503164
2020-07-01,56.45350646972656,56.45350646972656,55.63756866682028,56.10612487321343,2669469
2020-07-02,57.43909454345703,57.48757054542504,56.16266871363345,56.38887567462872,4184511
2020-07-03,57.81879425048828,58.10962562269342,57.1725009425858,57.705693846131815,2633309
2020-07-06,57.697608947753906,58.40853276324495,57.334072842839106,57.68145438990606,2432574
2020-07-07,57.55219650268555,58.48124080055786,57.48757210415841,58.085389394224485,3742188
2020-07-08,57.00285339355469,57.73801222481375,56.75241765097681,57.33408042658616,3698529
2020-07-09,56.8897590637207,57.463341538889296,56.8897590637207,57.374476040700145,2582172
2020-07-10,57.05939483642578,57.47948729363653,56.7200936572619,57.04324027892191,2954790
2020-07-13,58.26313018798828,58.675136222588016,57.76225249296169,58.00461405973503,3169882
2020-07-14,57.94805145263672,58.36813775986394,57.71377029847773,58.16617188526234,2788782
2020-07-15,58.755924224853516,58.81247443212726,57.68146412314206,58.16618106598991,3427002
2020-07-16,58.683204650878906,59.33757211917548,58.238877256659364,59.03058620540252,3339604
2020-07-17,58.650882720947266,58.99018387614777,58.33581648204555,58.79629838224872,3329439
2020-07-20,58.15809631347656,58.44892768993189,57.80264053609439,58.33582728392258,1506664
2020-07-21,60.12928771972656,60.12928771972656,58.440849598418104,58.79631155311675,3172653
2020-07-22,59.88691711425781,60.36355976898636,59.43451554109919,60.024258589117395,2723772
2020-07-23,59.571861267089844,59.74959224861943,59.11945961484018,59.588021990961764,2494631
2020-07-24,58.86094665527344,59.49107932278331,58.77208115975173,59.13561734069648,2473039
2020-07-27,58.56203079223633,59.20024377753606,58.38429981360727,58.852862182082035,1905993
2020-07-28,58.33582305908203,59.01443160950106,58.27119249932604,58.82862029107995,1907858
2020-07-29,58.98212432861328,59.70920281569894,58.6024274429402,58.812473708878336,4074211
2020-07-30,59.15178298950195,59.676895643976515,58.99828690927572,59.2164135668089,2916496
2020-07-31,57.51987838745117,58.707438711445484,57.38254307252227,58.65088851332715,4787087
2020-08-03,56.49390411376953,56.96246650024773,55.84761074183337,56.881681369633306,3299430
2020-08-04,57.762245178222656,58.3681428549173,57.495648721234645,57.60067492984138,4177168
2020-08-05,57.9238166809082,57.980366885417205,56.28385458663726,56.80088678886524,2914726
2020-08-06,57.93189239501953,58.36005907531122,57.479490795241084,58.16617355590753,2237150
2020-08-07,57.77839279174805,57.883418987728916,57.37446105584416,57.52795708781056,2499015
2020-08-10,59.765743255615234,59.87884365028948,58.21464068213695,58.24695596111663,3363578
2020-08-11,60.347408294677734,61.42186835907289,59.70920147625787,59.781906241580344,4249396
2020-08-12,60.05657196044922,62.003526029434646,59.741505676312016,61.373393461160234,4403812
2020-08-13,58.51355743408203,60.7271018451744,58.27119590259691,60.581686158985285,5960634
2020-08-14,57.97229766845703,58.86902681951402,57.57644003937059,58.51356483862352,4061418
2020-08-17,57.16442108154297,57.72184268678798,57.07555560642247,57.439091703908744,3329741
2020-08-18,56.93824005126953,57.552212066122074,56.57469766413471,57.19675620581568,4601033
2020-08-19,58.19987487792969,58.21625722744327,56.946415751087244,56.946415751087244,3711730
2020-08-20,57.56086730957031,57.89675866338484,57.22496970533518,57.22496970533518,4527699
2020-08-21,57.044715881347656,58.28998681745576,57.044715881347656,57.75746988755764,4129176
2020-08-24,56.487632751464844,57.044726431084406,56.40570849719549,57.0037674291597,2682292
2020-08-25,57.71650695800781,57.98686258332056,57.02014152193904,57.347844741977006,3548162
2020-08-26,57.06111526489258,57.241352375272164,56.36474972513326,57.20038712276045,2667332
2020-08-27,56.585941314697266,57.20857685067229,56.44666946796137,57.06111070400503,3089720
2020-08-28,56.602325439453125,57.0856891438528,56.38112933772423,56.790756841267836,3290137
2020-08-31,55.93873596191406,56.65968443386643,55.93873596191406,56.40571110832855,2630027
2020-09-01,54.718040466308594,55.47994784218433,54.414913875762096,55.307905047685864,4125905
2020-09-02,55.389827728271484,55.643794762906644,54.808157463204964,54.85731076012293,2427562
2020-09-03,55.8568115234375,56.2008971564378,55.72572771062583,55.91415912893755,2379411
2020-09-04,54.66889190673828,55.25056223867729,54.61973235374938,54.99658892442451,2884072
2020-09-07,55.193214416503906,55.62741858859297,54.128180361990395,54.37395937469965,2350246
2020-09-08,56.11077117919922,56.11077117919922,55.35705810644294,55.602837097759696,2062956
2020-09-09,54.718040466308594,54.87370091151077,54.34118392829965,54.562380021106414,3026643
2020-09-10,54.66069793701172,55.611030544809736,54.30841801548883,55.611030544809736,2969184
2020-09-11,53.906986236572266,54.28384281963349,53.906986236572266,54.07083475080057,2996930
2020-09-14,54.21010208129883,54.55418768266688,53.90698173027349,54.22649068160377,1944822
2020-09-15,53.276153564453125,54.201915747989666,53.25157691363708,54.07083194307765,3757071
2020-09-16,53.825050354003906,53.931557502994515,53.25976866107187,53.74312610507081,3905800
2020-09-17,53.25157165527344,53.88239521546683,53.25157165527344,53.55469823638514,3934061
2020-09-18,52.73544692993164,53.456389084288986,52.73544692993164,53.34169388360531,6395277
2020-09-21,52.0226936340332,52.71905914912923,51.86703630571559,52.67810014848814,4649205
2020-09-22,51.67041015625,51.84245294806294,51.31813027289416,51.61306255897902,3671667
2020-09-23,52.65351486206055,52.817369608460496,51.8998017798792,52.01450010235916,3572552
2020-09-24,52.59617233276367,52.78460374668019,51.61306876128811,52.00631081492035,2762068
2020-09-25,54.17732620239258,54.70984315630451,53.456384115053076,53.65300354788766,4021873
2020-09-28,53.653011322021484,54.59515587693003,53.28434905073639,54.48046067028934,2440377
2020-09-29,53.26795196533203,54.10359548109768,53.16964537553771,53.98070599343579,1979376
2020-09-30,52.11281204223633,52.86652515648595,52.096426566899176,52.48147429908763,4612677
2020-10-01,52.465091705322266,52.874719211219144,52.252083652138374,52.35858767873032,2109305
2020-10-02,52.20293045043945,52.63713460744538,52.07184977331257,52.366778952940656,2525561
2020-10-05,54.0626335144043,54.0626335144043,52.899292961532964,53.01398815686285,1961004
2020-10-06,54.1937255859375,54.423116011630476,53.55470761424412,54.30842079878399,2227080
2020-10-07,55.357059478759766,55.38983042844236,54.20191319194115,54.21010124154714,3011826
2020-10-08,55.79945373535156,56.020649816080926,55.38982627069646,55.914148925421465,3174818
2020-10-09,55.471763610839844,56.15994116416218,55.471763610839844,56.11897590785683,2430743
2020-10-12,56.20908737182617,56.21728167213636,55.275137149897304,55.45537425420283,2140654
